Time	"Time Code"	"Country Name"	"Country Code"	"Adolescents out of school (% of lower secondary school age) [SE.SEC.UNER.LO.ZS]"	"Secondary education, pupils [SE.SEC.ENRL]"	"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"	"Pupil-teacher ratio, secondary [SE.SEC.ENRL.TC.ZS]"	"Compulsory education, duration (years) [SE.COM.DURS]"	"GDP per capita (current US$) [NY.GDP.PCAP.CD]"	"Population density (people per sq. km of land area) [EN.POP.DNST]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Surface area (sq. km) [AG.SRF.TOTL.K2]"	"Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS]"	"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
2015	"YR2015"	"Afghanistan"	"AFG"	""	"2698816"	"3.2558"	"37.72088"	"9"	"578.466352941708"	"52.7120715007812"	"75.197"	"652860"	""	""	"63.377"
2015	"YR2015"	"Albania"	"ALB"	"3.05841"	"315079"	"3.43797"	"13.50589"	"9"	"3952.83078116586"	"105.135145985401"	"42.566"	"28750"	""	"17.0799999237061"	"78.025"
2015	"YR2015"	"Algeria"	"DZA"	""	""	""	""	"10"	"4177.8889657089"	"16.680252672416"	"29.152"	"2381740"	""	"11.2061004638672"	"76.09"
2015	"YR2015"	"American Samoa"	"ASM"	""	""	""	""	""	"11843.3311832581"	"279.06"	"12.762"	"200"	""	""	""
2015	"YR2015"	"Andorra"	"AND"	""	"4395"	"3.25368"	"8.07904"	"10"	"36039.6534962289"	"165.98085106383"	"11.655"	"470"	""	""	""
2015	"YR2015"	"Angola"	"AGO"	""	""	""	""	"6"	"4166.97968386501"	"22.3665524985963"	"36.554"	"1246700"	""	""	"59.398"
2015	"YR2015"	"Antigua and Barbuda"	"ATG"	"1.2997"	"8048"	""	"11.48074"	"11"	"14526.5880847823"	"212.65"	"75"	"440"	""	""	"76.483"
2015	"YR2015"	"Argentina"	"ARG"	"0.38344"	"4501734"	"5.77611"	""	"14"	"13789.060424772"	"15.7606327351655"	"8.497"	"2780400"	""	""	"76.068"
2015	"YR2015"	"Armenia"	"ARM"	""	"240291"	"2.80591"	""	"12"	"3607.29669672271"	"102.759149982438"	"36.915"	"29740"	"0.4"	""	"74.467"
2015	"YR2015"	"Aruba"	"ABW"	""	""	"6.48175"	""	"13"	"25796.3802506382"	"579.672222222222"	"56.892"	"180"	""	""	"75.725"
2015	"YR2015"	"Australia"	"AUS"	"0.16973"	"2709319"	"5.32175"	""	"10"	"56748.4202606605"	"3.10011259648803"	"14.299"	"7741220"	""	"6.05420017242432"	"82.4"
