Time	"Time Code"	"Country Name"	"Country Code"	"Access to electricity (% of population) [EG.ELC.ACCS.ZS]"	"Agricultural land (% of land area) [AG.LND.AGRI.ZS]"	"Bank capital to assets ratio (%) [FB.BNK.CAPA.ZS]"	"Secondary education, pupils [SE.SEC.ENRL]"	"GDP per capita (current US$) [NY.GDP.PCAP.CD]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Population density (people per sq. km of land area) [EN.POP.DNST]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"Adjusted net enrollment rate, primary (% of primary school age children) [SE.PRM.TENR]"	"Children out of school (% of primary school age) [SE.PRM.UNER.ZS]"	"Pupil-teacher ratio, primary [SE.PRM.ENRL.TC.ZS]"	"Gross intake ratio in first grade of primary education, total (% of relevant age group) [SE.PRM.GINT.ZS]"	"School enrollment, primary (gross), gender parity index (GPI) [SE.ENR.PRIM.FM.ZS]"	"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]"	"Population, total [SP.POP.TOTL]"	"Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS]"	"Total debt service (% of GNI) [DT.TDS.DECT.GN.ZS]"	"GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]"	"Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure [SH.UHC.OOPC.10.TO]"
2015	"YR2015"	"Afghanistan"	"AFG"	"71.5"	"58.0675795729559"	"9.23269367587705"	"2698816"	"578.466352941708"	"75.197"	"52.7120715007812"	"63.377"	""	""	"44.32877"	"108.4754"	"0.68839"	"1.67900002002716"	"34413603"	"27.7"	"0.281553469882284"	"1.45131465458005"	""
2015	"YR2015"	"Albania"	"ALB"	"100"	"42.8576660156252"	"9.52613760004086"	"315079"	"3952.83078116586"	"42.566"	"105.135145985401"	"78.025"	"97.79873"	"2.20127"	"18.61557"	"111.0067"	"1.0313"	"17.0799999237061"	"2880703"	"20.7"	"10.2320117082182"	"2.23000017922044"	""
2015	"YR2015"	"Algeria"	"DZA"	"99.9430694580078"	"17.4059294622839"	"8.82631618065046"	""	"4177.8889657089"	"29.152"	"16.680252672416"	"76.09"	""	"0.68412"	"23.83613"	"108.1113"	"0.9523"	"11.206000328064"	"39728025"	"31.6"	"0.427837349173113"	"3.76346695783126"	""
2015	"YR2015"	"American Samoa"	"ASM"	""	"24.5000004768372"	""	""	"11843.3311832581"	"12.762"	"279.06"	""	""	""	""	""	""	""	"55812"	""	""	"1.24804992199688"	""
2015	"YR2015"	"Andorra"	"AND"	"100"	"40.0212754594519"	""	"4395"	"36039.6534962289"	"11.655"	"165.98085106383"	""	""	""	"9.93795"	""	""	""	"78011"	"39.3"	""	"0.842203518374134"	""
2015	"YR2015"	"Angola"	"AGO"	"42"	"47.4773401780701"	"8.42177870008143"	""	"4166.97968386501"	"36.554"	"22.3665524985963"	"59.398"	""	""	"50.02951"	""	"0.87413"	"7.27899980545044"	"27884381"	"36.8"	"7.12038108933213"	"0.94357561305911"	""
2015	"YR2015"	"Antigua and Barbuda"	"ATG"	"100"	"20.4545454545455"	"5.64133619262628"	"8048"	"14526.5880847823"	"75"	"212.65"	"76.483"	"97.63492"	"1.219"	"14.33428"	"114.3687"	"0.96619"	""	"93566"	"11.1"	""	"4.02573680753291"	""
2015	"YR2015"	"Argentina"	"ARG"	"99.8235778808594"	"54.3357121193851"	"12.2806927246817"	"4501734"	"13789.060424772"	"8.497"	"15.7606327351655"	"76.068"	"99.83682"	"0.0563"	""	"105.5189"	"0.99881"	"7.64300012588501"	"43131966"	""	"3.06748723694613"	"2.73115982828946"	""
2015	"YR2015"	"Armenia"	"ARM"	"100"	"58.8935704661707"	"14.684981864774"	"240291"	"3607.29669672271"	"36.915"	"102.759149982438"	"74.467"	"93.03258"	"6.96742"	""	"96.09745"	"1.01521"	"18.2609996795654"	"2925553"	"10.7"	"14.0560752687835"	"3.19999999896625"	""
2015	"YR2015"	"Aruba"	"ABW"	"100"	"11.1111111111111"	""	""	"25796.3802506382"	"56.892"	"579.672222222222"	"75.725"	""	""	""	""	""	""	"104341"	""	""	"-0.450585761489947"	""
2015	"YR2015"	"Australia"	"AUS"	"100"	"47.6306574853885"	"5.9651012003317"	"2709319"	"56748.4202606605"	"14.299"	"3.10011259648803"	"82.4"	"97.10963"	"0.08832"	""	""	"1.00029"	"6.05600023269653"	"23815995"	"26.7"	""	"2.33607548109676"	""
2015	"YR2015"	"Austria"	"AUT"	"100"	"32.9417255251407"	"7.44689127902493"	"691071.3"	"44176.6717431334"	"42.285"	"104.730792682674"	"81.190243902439"	"88.62591"	"0.47045"	"10.58415"	"98.79947"	"0.99097"	"5.72300004959106"	"8642699"	"30.6"	""	"1.14298010071532"	""
2015	"YR2015"	"Azerbaijan"	"AZE"	"100"	"57.7017519009259"	""	""	"5500.32049702735"	"45.286"	"116.731079539702"	"72.266"	"94.26275"	"1.15667"	"13.49787"	"101.2468"	"0.98318"	"4.96000003814697"	"9649341"	"16.9"	"3.73871750165824"	"1.05075098242399"	""
2015	"YR2015"	"Bahamas, The"	"BHS"	"100"	"1.3986013986014"	""	"25766"	"31512.8565549457"	"17.254"	"37.3832167832168"	"73.088"	"79.96521"	"18.4008"	"21.04116"	"87.15463"	"0.97338"	"12"	"374206"	"13.2"	""	"1.04495952423387"	""
